A,B,C,D
DSNA,1345,1360,-0.9
DFS,1120,1150,-2.3
NATS (Continental),787,765,6.1
ENAIRE,769,726,0.5
ENAV,695,685,1.5
DHMI,472,443,6.6
Skyguide,333,333,0.1
Austro Control,250,229,22.2
LVNL,232,204,1.3
PANSA,206,209,-1.6
Avinor (Continental),194,169,15.1
ROMATSA,191,187,1.7
skeyes,184,168,9.8
LFV,173,182,-4.9
UkSATSE,172,137,25
MUAC,171,161,6.1
NAV Portugal (Continental),156,154,1.5
HCAA,151,143,5.1
ANS CR,143,147,-3.1
IAA,118,121,-2.5
NAVIAIR,117,114,2.7
BULATSA,113,109,3.5
HungaroControl,106,107,-1
Croatia Control,92,93,-0.8
SMATSA,87,81,7.7
LPS,64,66,-3.6
ANS Finland,63,62,0.9
DCAC Cyprus,36,38,-5
Slovenia Control,34,33,2.8
Albcontrol,29,28,3.7
Oro Navigacija,26,26,3
EANS,26,24,9.4
LGS,26,26,1.9
Sakaeronavigatsia,25,25,1.9
MATS,23,22,3.6
M-NAV,16,13,21.3
ARMATS,10,11,-2.7
MOLDATSA,9,10,-2.6
