A,B,C,D,E
skeyes,840,279,55,1174
LVNL,681,13,347,1042
Austro Control,525,364,32,920
HungaroControl,323,535,1,858
DFS,527,247,21,795
Skyguide,675,38,79,793
UkSATSE,679,0,2,681
DSNA,448,156,14,618
LPS,530,35,0,564
Albcontrol,532,0,0,533
ANS CR,442,60,4,506
Croatia Control,308,190,0,498
Slovenia Control,474,3,0,477
MOLDATSA,459,0,0,459
NATS (Continental),393,29,36,458
ENAIRE,371,52,33,456
ENAV,440,2,12,454
ROMATSA,420,20,2,442
NAV Portugal (Continental),285,31,117,434
ARMATS,418,0,0,418
DCAC Cyprus,167,233,10,410
M-NAV,373,33,0,405
Sakaeronavigatsia,400,0,0,400
Avinor (Continental),364,0,8,372
NAVIAIR,359,0,3,361
PANSA,325,18,15,357
HCAA,199,52,107,357
BULATSA,351,0,0,351
ANS Finland,316,0,19,336
LFV,301,14,7,322
MUAC,256,52,0,308
IAA,296,1,5,303
Oro Navigacija,299,0,0,299
EANS,294,1,0,295
SMATSA,274,19,0,294
DHMI,257,0,14,270
LGS,227,2,0,229
MATS,207,0,0,207
